SampleName,Date,Year,Crop,Block,SoilFrac,ph,water_content_soil,MBN,ExtC,ExtN,BD,TP,AMFcol,MBC,AP,BG,BX,CB,NAG,RootBiomass,MBC:MBN,TC,TN,CN
CC12.LM.July2012,July,2012,CC,1,LM,6.77,0.131073446,15.29833436,39.63,13.37876886,1.120671355,42,0.96460177,258.82,3817.935026,347.4823871,68.18962193,31.71779153,60.99716163,0.2197,16.92,26.76,2.01,13.30
CC12.Micro.July2012,July,2012,CC,1,micro,6.77,0.094882729,15.29833436,39.63,13.37876886,1.120671355,42,0.96460177,258.82,2707.967989,484.6664472,77.18980431,44.92794971,48.0673614,0.2197,16.92,24.34,1.97,12.38
CC12.MM.July2012,July,2012,CC,1,MM,6.77,0.126931567,15.29833436,39.63,13.37876886,1.120671355,42,0.96460177,258.82,3937.288068,452.920951,87.72808269,41.63592794,75.63453504,0.2197,16.92,27.04,2.15,12.56
CC12.SM.July2012,July,2012,CC,1,SM,6.77,0.116926503,15.29833436,39.63,13.37876886,1.120671355,42,0.96460177,258.82,2347.249447,326.0037702,71.67988711,40.65869535,42.7971232,0.2197,16.92,26.00,2.12,12.25
CC12.WS.July2012,July,2012,CC,1,WS,6.77,0.132502831,15.29833436,39.63,13.37876886,1.120671355,42,0.96460177,258.82,3322.74954,599.6004109,91.97449035,63.79000562,72.83207178,0.2197,16.92,24.52,1.92,12.76
CC21.LM.July2012,July,2012,CC,2,LM,6.4,0.13174946,16.83701573,82.99,13.18075937,1.070532423,18,1,112.59,4328.5063,925.6582924,96.2243341,61.03155504,111.4568314,0.1984,6.69,23.17,1.71,13.57
CC21.Micro.July2012,July,2012,CC,2,micro,6.4,0.101621622,16.83701573,82.99,13.18075937,1.070532423,18,1,112.59,1598.427045,154.4682348,26.01694459,12.96797435,30.70948363,0.1984,6.69,22.17,1.76,12.62
CC21.MM.July2012,July,2012,CC,2,MM,6.4,0.132803632,16.83701573,82.99,13.18075937,1.070532423,18,1,112.59,3355.052144,255.8252895,49.89373476,15.50836568,70.43914336,0.1984,6.69,22.44,1.70,13.23
CC21.SM.July2012,July,2012,CC,2,SM,6.4,0.113561191,16.83701573,82.99,13.18075937,1.070532423,18,1,112.59,1876.21622,86.34072867,14.61704366,6.667534922,46.14168079,0.1984,6.69,21.55,1.61,13.36
CC21.WS.July2012,July,2012,CC,2,WS,6.4,0.135746606,16.83701573,82.99,13.18075937,1.070532423,18,1,112.59,3873.388861,274.823426,44.57496916,24.46349584,78.0501218,0.1984,6.69,23.49,1.86,12.65
CC35.LM.July2012,July,2012,CC,3,LM,6.29,0.11907387,36.11518168,17.07,5.342439899,1.212540229,49,0.966887417,298.08,2330.324244,138.3814733,26.75349516,9.09679301,37.71324353,0.205,8.25,19.16,1.54,12.47
CC35.Micro.July2012,July,2012,CC,3,micro,6.29,0.096878364,36.11518168,17.07,5.342439899,1.212540229,49,0.966887417,298.08,1510.243877,137.8530076,19.49090609,9.108113135,22.14753283,0.205,8.25,19.54,1.54,12.70
CC35.MM.July2012,July,2012,CC,3,MM,6.29,0.117453348,36.11518168,17.07,5.342439899,1.212540229,49,0.966887417,298.08,3228.068204,287.1279818,46.34004186,18.42654924,58.06381102,0.205,8.25,20.88,1.55,13.46
CC35.SM.July2012,July,2012,CC,3,SM,6.29,0.085245902,36.11518168,17.07,5.342439899,1.212540229,49,0.966887417,298.08,1810.13533,151.203451,25.38570252,10.47631293,27.62578396,0.205,8.25,17.98,1.51,11.89
CC35.WS.July2012,July,2012,CC,3,WS,6.29,0.113839286,36.11518168,17.07,5.342439899,1.212540229,49,0.966887417,298.08,2202.19106,170.6213683,25.84205,12.89232078,44.25742877,0.205,8.25,19.73,1.54,12.79
CC43.LM.July2012,July,2012,CC,4,LM,6.71,0.110244989,1.82208928,15.85,5.324073885,1.252535372,44,0.960451977,17.09,1974.46882,132.8859938,17.66305982,7.507392629,39.76914994,0.3397,9.38,20.25,1.59,12.73
CC43.Micro.July2012,July,2012,CC,4,micro,6.71,0.099744246,1.82208928,15.85,5.324073885,1.252535372,44,0.960451977,17.09,2359.423785,238.917561,35.52265663,15.64406677,44.44874559,0.3397,9.38,18.39,1.45,12.72
CC43.MM.July2012,July,2012,CC,4,MM,6.71,0.106981982,1.82208928,15.85,5.324073885,1.252535372,44,0.960451977,17.09,2290.737125,152.487605,25.47507696,8.343270829,43.52558333,0.3397,9.38,19.19,1.53,12.56
CC43.SM.July2012,July,2012,CC,4,SM,6.71,0.095499451,1.82208928,15.85,5.324073885,1.252535372,44,0.960451977,17.09,1450.121023,83.0906235,17.88225252,5.34344451,25.05443198,0.3397,9.38,18.20,1.52,12.01
CC43.WS.July2012,July,2012,CC,4,WS,6.71,0.104143337,1.82208928,15.85,5.324073885,1.252535372,44,0.960451977,17.09,2174.218962,163.8080262,27.13002815,16.81369265,37.05747925,0.3397,9.38,18.87,1.39,13.55
P13.LM.July2012,July,2012,P,1,LM,7.89,0.173719376,37.48443501,21.39,5.947342966,1.225326539,8,0.877276593,426.55,1699.170333,317.2648094,65.32301398,27.75173996,57.82107782,6.1834,11.38,27.55,2.04,13.53
P13.Micro.July2012,July,2012,P,1,micro,7.89,0.142045455,37.48443501,21.39,5.947342966,1.225326539,8,0.877276593,426.55,1691.447625,416.3731339,80.46126968,30.06248296,39.34948597,6.1834,11.38,19.82,1.70,11.64
P13.MM.July2012,July,2012,P,1,MM,7.89,0.169530355,37.48443501,21.39,5.947342966,1.225326539,8,0.877276593,426.55,2343.875025,268.5765578,33.0929363,13.26353748,65.57685322,6.1834,11.38,27.02,2.09,12.92
P13.SM.July2012,July,2012,P,1,SM,7.89,0.142536476,37.48443501,21.39,5.947342966,1.225326539,8,0.877276593,426.55,2667.715863,459.8642633,78.31852099,28.39873426,83.85057691,6.1834,11.38,23.40,1.85,12.66
P13.WS.July2012,July,2012,P,1,WS,7.89,0.164083865,37.48443501,21.39,5.947342966,1.225326539,8,0.877276593,426.55,3672.15613,593.1601526,102.715788,42.07793235,100.2319906,6.1834,11.38,25.56,1.93,13.27
P24.LM.July2012,July,2012,P,2,LM,7.5,0.150684932,35.94043018,20.76,4.155637705,1.193116705,12,0.880771064,386.00,3126.750697,667.8632268,145.27543,40.80912854,102.8202702,5.7971,10.74,24.75,1.77,13.96
P24.Micro.July2012,July,2012,P,2,micro,7.5,0.102310231,35.94043018,20.76,4.155637705,1.193116705,12,0.880771064,386.00,4812.551482,778.255201,159.0298397,51.47356093,135.9970488,5.7971,10.74,19.41,1.64,11.80
P24.MM.July2012,July,2012,P,2,MM,7.5,0.147597254,35.94043018,20.76,4.155637705,1.193116705,12,0.880771064,386.00,4297.44951,522.1958874,97.85392116,62.43262485,104.8683326,5.7971,10.74,25.00,1.92,13.02
P24.SM.July2012,July,2012,P,2,SM,7.5,0.12979684,35.94043018,20.76,4.155637705,1.193116705,12,0.880771064,386.00,1976.672871,418.7539396,59.24723834,9.027685575,61.57756315,5.7971,10.74,26.55,2.14,12.43
P24.WS.July2012,July,2012,P,2,WS,7.5,0.154109589,35.94043018,20.76,4.155637705,1.193116705,12,0.880771064,386.00,2450.590468,444.8772631,68.37410214,33.11195718,81.21622586,5.7971,10.74,22.98,1.81,12.70
P31.LM.July2012,July,2012,P,3,LM,7.74,0.180138568,70.15731329,17.02,3.486850886,1.116618599,18,0.863636364,712.08,2795.82915,608.2254811,126.5103925,48.84627635,92.782445,5.935,10.15,30.69,2.22,13.82
P31.Micro.July2012,July,2012,P,3,micro,7.74,0.057471264,70.15731329,17.02,3.486850886,1.116618599,18,0.863636364,712.08,3716.107109,896.7748494,159.5901163,71.7069966,102.8499259,5.935,10.15,21.89,1.88,11.63
P31.MM.July2012,July,2012,P,3,MM,7.74,0.164044944,70.15731329,17.02,3.486850886,1.116618599,18,0.863636364,712.08,3729.715111,414.136832,80.61195503,24.06300047,97.4714321,5.935,10.15,28.06,2.12,13.26
P31.SM.July2012,July,2012,P,3,SM,7.74,0.145952109,70.15731329,17.02,3.486850886,1.116618599,18,0.863636364,712.08,3533.211546,568.4037291,94.125663,36.2284754,105.5915707,5.935,10.15,26.61,2.08,12.81
P31.WS.July2012,July,2012,P,3,WS,7.74,0.167990919,70.15731329,17.02,3.486850886,1.116618599,18,0.863636364,712.08,5256.013072,676.3651471,123.5475782,46.98091966,137.0703338,5.935,10.15,28.86,2.27,12.73
P46.LM.July2012,July,2012,P,4,LM,6.42,0.108671789,30.72268663,21.69,4.960970923,1.277236943,12,0.915697912,343.42,2251.367832,119.4761938,21.98114161,8.334185804,71.34348269,5.7518,11.18,15.87,1.33,11.93
P46.Micro.July2012,July,2012,P,4,micro,6.42,0.085963003,30.72268663,21.69,4.960970923,1.277236943,12,0.915697912,343.42,1706.377257,305.8070014,52.65902046,22.60841325,40.48426241,5.7518,11.18,16.06,1.33,12.10
P46.MM.July2012,July,2012,P,4,MM,6.42,0.109529025,30.72268663,21.69,4.960970923,1.277236943,12,0.915697912,343.42,2215.302082,217.6701065,27.56167554,14.93238753,127.8952519,5.7518,11.18,22.55,1.75,12.91
P46.SM.July2012,July,2012,P,4,SM,6.42,0.090712743,30.72268663,21.69,4.960970923,1.277236943,12,0.915697912,343.42,2329.64194,251.2093228,35.88927648,15.08270206,63.17744106,5.7518,11.18,14.78,1.21,12.23
P46.WS.July2012,July,2012,P,4,WS,6.42,0.098166127,30.72268663,21.69,4.960970923,1.277236943,12,0.915697912,343.42,3519.064388,226.0354346,35.7164054,10.93814424,103.2185597,5.7518,11.18,16.07,1.37,11.77
PF15.LM.July2012,July,2012,PF,1,LM,7.54,0.168202765,71.46905037,28.24,5.833480668,0.97266606,11,0.908653846,651.48,1843.50845,441.9862819,50.89918939,15.66622407,57.4716635,2.1512,9.12,32.44,2.29,14.18
PF15.Micro.July2012,July,2012,PF,1,micro,7.54,0.101694915,71.46905037,28.24,5.833480668,0.97266606,11,0.908653846,651.48,1457.171086,562.7394014,87.97202002,34.84867799,48.62297219,2.1512,9.12,25.94,2.20,11.78
PF15.MM.July2012,July,2012,PF,1,MM,7.54,0.170361727,71.46905037,28.24,5.833480668,0.97266606,11,0.908653846,651.48,1192.949558,317.0939955,60.4533088,24.41710872,48.54313976,2.1512,9.12,33.68,2.39,14.07
PF15.SM.July2012,July,2012,PF,1,SM,7.54,0.15437788,71.46905037,28.24,5.833480668,0.97266606,11,0.908653846,651.48,1203.385607,357.0082618,73.00505156,22.94666482,39.66316668,2.1512,9.12,30.85,2.26,13.65
PF15.WS.July2012,July,2012,PF,1,WS,7.54,0.161440186,71.46905037,28.24,5.833480668,0.97266606,11,0.908653846,651.48,1191.643911,286.7453216,47.16286155,16.39707397,37.50409481,2.1512,9.12,32.81,2.39,13.72
PF23.LM.July2012,July,2012,PF,2,LM,7.19,0.137656428,63.12994266,19.95,3.89499573,1.14960958,8,0.911852759,593.45,1886.226894,274.6791559,28.43597933,7.952264269,55.4798289,3.7349,9.40,23.13,1.76,13.17
