X.OTU.ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
denovo0,k__Fungi, p__Zygomycota, c__Incertae sedis, o__Mortierellales, f__Mortierellaceae, g__Mortierella, s__Mortierella horticola
denovo1,k__Fungi,,,,,,
denovo2,k__Fungi,,,,,,
denovo3,k__Fungi,,,,,,
denovo4,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Hydnangiaceae, g__Laccaria,
denovo5,k__Fungi,,,,,,
denovo6,k__Fungi,,,,,,
denovo7,k__Fungi,,,,,,
denovo8,k__Fungi,,,,,,
denovo9,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Hypocreaceae, g__Trichoderma, s__Trichoderma citrinoviride
denovo10,k__Fungi,,,,,,
denovo11,k__Fungi,,,,,,
denovo12,k__Fungi,,,,,,
denovo13,k__Fungi,,,,,,
denovo14,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Cystofilobasidiales, f__Incertae sedis, g__Syzygospora, s__Syzygospora sp
denovo15,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Niaceae, g__Flagelloscypha, s__Flagelloscypha minutissima
denovo16,k__Fungi,,,,,,
denovo17,k__Fungi,,,,,,
denovo18,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Entolomataceae, g__Entoloma,
denovo19,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo20,k__Fungi, p__Chytridiomycota, c__Chytridiomycetes, o__Rhizophlyctidales, f__Rhizophlyctidaceae, g__Rhizophlyctis, s__Rhizophlyctis rosea
denovo21,k__Fungi,,,,,,
denovo22,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales,,,
denovo23,k__Fungi,,,,,,
denovo24,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Strophariaceae, g__Galerina, s__Galerina fallax
denovo25,k__Fungi,,,,,,
denovo26,k__Fungi,,,,,,
denovo27,k__Fungi,,,,,,
denovo28,k__Fungi,,,,,,
denovo29,k__Fungi, p__Ascomycota, c__Saccharomycetes, o__Saccharomycetales, f__Lipomycetaceae, g__Lipomyces,
denovo30,k__Fungi,,,,,,
denovo31,k__Fungi,,,,,,
denovo32,k__Fungi,,,,,,
denovo33,k__Fungi,,,,,,
denovo34,k__Fungi, p__Ascomycota, c__Leotiomycetes, o__Helotiales, f__Hyaloscyphaceae,,
denovo35,k__Fungi,,,,,,
denovo36,k__Fungi,,,,,,
denovo37,k__Fungi,,,,,,
denovo38,k__Fungi, p__Basidiomycota,,,,,
denovo39,k__Fungi,,,,,,
denovo40,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales,,,
denovo41,k__Fungi,,,,,,
denovo42,k__Fungi,,,,,,
denovo43,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales, f__Inocybaceae, g__Inocybe, s__Inocybe grammata
denovo44,k__Fungi,,,,,,
denovo45,k__Fungi,,,,,,
denovo46,k__Fungi,,,,,,
denovo47,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Thelephorales, f__Thelephoraceae, g__Tomentellopsis, s__Tomentellopsis echinospora
denovo48,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Clavicipitaceae,,
denovo49,k__Fungi,,,,,,
denovo50,k__Fungi,,,,,,
denovo51,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Claroideoglomeraceae, g__Claroideoglomus,
denovo52,k__Fungi,,,,,,
denovo53,k__Fungi,,,,,,
denovo54,k__Fungi,,,,,,
denovo55,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae,,
denovo56,k__Fungi,,,,,,
denovo57,k__Fungi,,,,,,
denovo58,k__Fungi,,,,,,
denovo59,k__Fungi,,,,,,
denovo60,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Corticiales, f__Corticiaceae, g__Limonomyces, s__Limonomyces sp
denovo61,k__Fungi,,,,,,
denovo62,k__Fungi,,,,,,
denovo63,k__Fungi,,,,,,
denovo64,k__Fungi,,,,,,
denovo65,k__Fungi,,,,,,
denovo66,k__Fungi,,,,,,
denovo67,k__Fungi,,,,,,
denovo68,k__Fungi, p__Ascomycota,,,,,
denovo69,k__Fungi,,,,,,
denovo70,k__Fungi,,,,,,
denovo71,k__Fungi,,,,,,
denovo72,k__Fungi,,,,,,
denovo73,k__Fungi,,,,,,
denovo74,k__Fungi,,,,,,
denovo75,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Agaricales,,,
denovo76,k__Fungi,,,,,,
denovo77,k__Fungi,,,,,,
denovo78,k__Fungi,,,,,,
denovo79,k__Fungi,,,,,,
denovo80,k__Fungi,,,,,,
denovo81,k__Fungi,,,,,,
denovo82,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Bionectriaceae, g__Clonostachys, s__Clonostachys rosea f. catenulata
denovo83,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo84,k__Fungi, p__Ascomycota, c__Eurotiomycetes, o__Eurotiales, f__Trichocomaceae, g__Aspergillus, s__Aspergillus asperescens
denovo85,k__Fungi,,,,,,
denovo86,k__Fungi,,,,,,
denovo87,k__Fungi,,,,,,
denovo88,k__Fungi,,,,,,
denovo89,k__Fungi,,,,,,
denovo90,k__Fungi,,,,,,
denovo91,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Glomus, s__Glomus indicum
denovo92,k__Fungi,,,,,,
denovo93,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Glomus, s__Glomus sp 1 SUN_2011
denovo94,k__Fungi,,,,,,
denovo95,k__Fungi,,,,,,
denovo96,k__Fungi, p__Basidiomycota,,,,,
denovo97,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Russulales, f__Russulaceae, g__Lactarius, s__Lactarius helvus
denovo98,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales,,,
denovo99,k__Fungi,,,,,,
denovo100,k__Fungi, p__Basidiomycota, c__Agaricomycetes, o__Polyporales, f__Polyporaceae, g__Diplomitoporus, s__Diplomitoporus flavescens
denovo101,k__Fungi, p__Ascomycota,,,,,
denovo102,k__Fungi, p__Basidiomycota, c__Tremellomycetes, o__Tremellales, f__Incertae sedis, g__Cryptococcus, s__Cryptococcus victoriae
denovo103,k__Fungi,,,,,,
denovo104,k__Fungi,,,,,,
denovo105,k__Fungi,,,,,,
denovo106,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Bionectriaceae, g__Clonostachys, s__Clonostachys rosea f. catenulata
denovo107,k__Fungi,,,,,,
denovo108,k__Fungi, p__Ascomycota, c__Leotiomycetes,,,,
denovo109,k__Fungi,,,,,,
denovo110,k__Fungi,,,,,,
denovo111,k__Fungi,,,,,,
denovo112,k__Fungi,,,,,,
denovo113,k__Fungi, p__Glomeromycota, c__Glomeromycetes, o__Glomerales, f__Glomeraceae, g__Glomus, s__Glomus indicum
denovo114,k__Fungi,,,,,,
denovo115,k__Fungi, p__Ascomycota, c__Sordariomycetes, o__Hypocreales, f__Bionectriaceae, g__Clonostachys, s__Clonostachys rosea f. catenulata
denovo116,k__Fungi,,,,,,
denovo117,k__Fungi,,,,,,
denovo118,k__Fungi, p__Basidiomycota,,,,,
denovo119,k__Fungi,,,,,,
